player_name,team,year,unassisted_dunks_100,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,unassisted_points_100
Jordan Fouse,Green Bay,2014,0.196511,2.030609,0.524028,0.000000,5.109273
Raeford Worsham,Arkansas St.,2014,0.000000,3.565680,0.000000,0.000000,7.131360
Frank Okeke,New Hampshire,2014,0.000000,0.230014,0.345021,0.115007,1.495090
Justin Leathers,UT Rio Grande Valley,2014,0.078954,0.947450,0.552679,0.000000,3.000257
Aaron Bacote,Old Dominion,2014,0.000000,3.286006,1.792367,1.194911,13.741481
Gary Johnson,Albany,2014,0.324447,4.088039,0.454227,0.000000,9.084530
Dave Wiegmann,Albany,2014,0.000000,1.879437,0.208826,0.000000,4.176527
DJ Evans,Albany,2014,0.000000,1.813490,2.308078,0.549542,9.891764
Chris Cunningham,San Jose St.,2014,0.239479,2.314968,0.718438,0.000000,6.066814
Marcus Gilbert,Fairfield,2014,0.398451,2.106099,0.569216,0.455373,6.716750
Giovanni Smith,Jacksonville St.,2014,0.000000,0.404563,0.000000,0.404563,2.022816
Coleman Johnson,Fairfield,2014,0.269435,1.706422,0.538870,0.000000,4.490585
Yondarius Johnson,Southern,2014,0.317957,3.656502,0.635913,0.476935,10.015635
Sherman Blanford,Eastern Illinois,2014,0.234669,4.693380,1.642683,0.000000,12.672126
Sanjay Lumpkin,Northwestern,2014,0.000000,0.728966,0.198809,0.000000,1.855549
Isaac Lang,UCF,2014,0.000000,0.000000,2.254837,0.000000,4.509675
